ITS2 type profile		A1-A1gr-A1gd-A1mm-A1bf	A1/A1gr/A1gd	A1/A1h-A1dl	A1-A1gr-A1mm	A1/A1gd-A1g	A1/A1gd	A1/A1bx-A1bw-A1bf	A1-A1ee-A1mm	C3k/C3-C50a-C3ba-C29-C21ab-C50f-C3dq-C3a	C3k/C3-C50a-C3ba-C50f-C3dq-C21ab-C3a-C3b	C3/C50b-C3bm-C50f-C21-C3b-C3acq	C3bo/C3k/C3-C3bp-C50a-C3jq-C3a-C3dq	C50b/C3-C3bm-C50f-C21-C3b-C21ba	C3k/C3-C3ba-C3a-C50f-C3dq-C50a-C3acr-C50aj	C21/C3a	C3-C3k-C50a-C3.10-C3gj-C3b-C21cf	C21/C1	C1/C42.2	C3k	C50b	C50b/C3-C21	C31	C3k/C1/C3-C1c-C50a-C3dq-C1b-C3ba-C50y	C3k/C3-C50a-C29-C21ab-C3b	C3f/C3ae/C3/C3fl-C50a-C3bj-C3h	C3k-C3-C50a-C29-C21ab-C50f-C3ba-C3dq	C50b-C3-C3bm-C50f-C21-C3b	C42.2/C1-C1b-C42u-C42a-C3-C115k-C115l	D1-D17i-D17s-D1r-D17r
227578	A123-24	0	0	0	0	0	0	0	0	50895.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227552	A100-24	0	0	0	0	0	0	0	0	66163.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227492	A045-24	0	0	0	0	0	0	0	0	69582.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227770	A311-24	0	0	0	0	0	0	0	0	49965.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227522	A072-24	0	0	0	0	0	0	0	0	59118.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227735	A276-24	0	0	0	0	0	0	0	0	43333.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227777	A318-24	0	0	0	0	0	0	0	0	51382.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227778	A319-24	0	0	0	0	0	0	0	0	33083.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227728	A269-24	0	0	0	0	0	0	0	0	45017.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227525	A075-24	0	0	0	0	0	0	0	0	59551.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227557	A105-24	0	0	0	0	0	0	0	0	32591.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227784	A325-24	0	0	0	0	0	0	0	0	39316.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227584	A128-24	0	0	0	0	0	0	0	0	70414.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227617	A161-24	0	0	0	0	0	0	0	0	62112.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227679	A219-24	0	0	0	0	0	0	0	0	26845.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227599	A143-24	0	0	0	0	0	0	0	0	38220.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227615	A159-24	0	0	0	0	0	0	0	0	43170.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227796	A337-24	0	0	0	0	0	0	0	0	36480.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
