ITS2 profile abundance DB		367	55	38	84	1	1	4	19	103	6	4	17	87	283	356	1721	118	222	50	25	17	4	42	133	31	63	46	5	118	65	16	11	10	10	3	5	43	11	6	4	26	25	28	39	94	26	30	315	15	50	5	1
ITS2 type profile		A1	A1/A1gr/A1gd	A1-A1eq-A1ep-A1hw	A1/A1g	A1qf	A1qe	A1-A1qd-A1qe	A1/A1cl	A1-A1bw-A1bf-A1bx-A1eb	A2y	A1gd	A1-A1gr-A1gd-A1mm-A1bf	C3/C50b-C3bm-C50f-C21-C3b-C3acq	C3k/C3-C50a-C3ba-C50f-C3dq-C21ab-C3a-C3b	C3k/C3-C50a-C3ba-C29-C21ab-C50f-C3dq-C3a	C1/C3-C1c-C1b-C72k-C3ju	C50b/C3-C3bm-C50f-C21-C3b-C21ba	C21/C1	C3bo/C3k/C3-C3bp-C50a-C3jq-C3a-C3dq	C3k/C3-C3ba-C3a-C50f-C3dq-C50a-C3acr-C50aj	C21du/C21	C21dw/C3-C21fc-C21fz-C26	C50b	C21/C3a	C26/C21ac	C50b-C3-C3bm-C50f-C21-C3b	C3k	C1p-C3ds-C1	C3k/C1/C3-C1c-C50a-C3dq-C1b-C3ba-C50y	C21	C31	C3fn/C3-C3fv-C115d	C50b/C3-C3k-C50a-C50f-C3ba	C31/C21	C3k/C1-C3-C50a-C3cz-C3ba	C31-C21-C21ac	C1/C7	C26/C21-C21ac-C50b	C3bo/C3/C3k-C50a-C3bp-C29	C3k-C3-C50a-C3jv-C21ab	C21dw/C21fc-C21fz-C21fh-C3-C21ac-C21fg-C21gb-C21ez-C21gc	C1-C21-C1c	C15h/C15k	C50b-C3-C3bh-C3bm-C50f	C3/C3k-C50a-C3.10-C3gj-C21-C21cf	C3k/C1/C3/C42.2-C50a-C1b	D1/D2.2/D4-D2	D1-D4-D2-D1u-D2.2	D1/D4-D2-D17c-D17d-D1r-D17e	D1-D17i-D4-D1r-D17s-D17r	D1/D17i	F4q
227279	I029-24	0	0	0	0	0	0	0	0	0	0	0	0	37824.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227268	I014-24	0	0	0	0	0	0	0	0	0	0	0	0	29711.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227265	I009-24	0	0	0	0	0	0	0	0	0	0	0	0	10930.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227300	I059-24	0	0	0	0	0	0	0	0	0	0	0	0	40835.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227275	I023-24	0	0	0	0	0	0	0	0	0	0	0	0	39080.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227263	I007-24	0	0	0	0	0	0	0	0	0	0	0	0	53719.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227293	I052-24	0	0	0	0	0	0	0	0	0	0	0	0	19089.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227267	I013-24	0	0	0	0	0	0	0	0	0	0	0	0	46930.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227323	I089-24	0	0	0	0	0	0	0	0	0	0	0	0	26596.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227433	I213-24	0	0	0	0	0	0	0	0	0	0	0	0	0	69352.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227326	I092-24	0	0	0	0	0	0	0	0	0	0	0	0	0	37973.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227358	I128-24	0	0	0	0	0	0	0	0	0	0	0	0	0	68739.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227376	I154-24	0	0	0	0	0	0	0	0	0	0	0	0	0	46162.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227317	I083-24	0	0	0	0	0	0	0	0	0	0	0	0	0	43925.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227374	I152-24	0	0	0	0	0	0	0	0	0	0	0	0	0	31223.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227418	I198-24	0	0	0	0	0	0	0	0	0	0	0	0	0	53403.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227399	I179-24	0	0	0	0	0	0	0	0	0	0	0	0	0	56520.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227349	I115-24	0	0	0	0	0	0	0	0	0	0	0	0	0	40453.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227422	I202-24	0	0	0	0	0	0	0	0	0	0	0	0	0	58906.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227322	I088-24	0	0	0	0	0	0	0	0	0	0	0	0	0	52816.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227366	I139-24	0	0	0	0	0	0	0	0	0	0	0	0	0	42955.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140.0	0
227385	I165-24	0	0	0	0	0	0	0	0	0	0	0	0	0	47051.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227318	I084-24	0	0	0	0	0	0	0	0	0	0	0	0	0	30967.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227382	I162-24	0	0	0	0	0	0	0	0	0	0	0	0	0	42352.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227337	I103-24	0	0	0	0	0	0	0	0	0	0	0	0	0	28990.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227315	I081-24	0	0	0	0	0	0	0	0	0	0	0	0	0	22627.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227319	I085-24	0	0	0	0	0	0	0	0	0	0	0	0	0	54435.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227316	I082-24	0	0	0	0	0	0	0	0	0	0	0	0	0	21502.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
